centre_id	centre_id_2	centre_ref	group	family	species	common	sex	age	dd	mm	yy	type	cause	fate	latitude	longitude	prop_urban
gower	NA	g1302	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	1	9	2019	unknown	undet	r	51.849068	-4.3809564	2.527866242
gower	NA	g1303	raptor	Accipitridae	Accipiter nisus	sparrowhawk	M	ad	13	9	2019	human	build	d	51.692293	-4.0124239	19.76512739
gower	NA	g1304	raptor	Accipitridae	Buteo buteo	buzzard	F	juv	21	9	2019	human	veh	d	51.761816	-3.2880791	35.11146497
gower	NA	g1305	raptor	Falconidae	Falco peregrinus	peregrine falcon	M	juv	27	9	2019	unknown	undet	c	51.586235	-2.9338029	46.57643312
gower	NA	g1306	raptor	Accipitridae	Milvus milvus	red kite	M	juv	5	10	2019	human	veh	d	52.072777	-4.3009115	1.015127389
gower	NA	g1307	owl	Strigidae	Strix aluco	tawny owl	NA	juv	6	10	2019	human	veh	r	NA	NA	NA
gower	NA	g1308	raptor	Accipitridae	Accipiter nisus	sparrowhawk	M	ad	22	10	2019	unknown	undet	d	51.574968	-4.0880546	19.44665605
gower	NA	g1309	raptor	Accipitridae	Milvus milvus	red kite	NA	ad	4	11	2019	unknown	undet	r	51.910711	-3.9102249	0.99522293
gower	NA	g131	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	27	12	2002	unknown	trauma	d	51.678838	-4.1622636	93.15286624
gower	NA	g1310	raptor	Accipitridae	Buteo buteo	buzzard	F	ad	14	11	2019	unknown	trauma	d	53.201955	-3.845892	3.781847134
gower	NA	g1311	raptor	Accipitridae	Accipiter nisus	sparrowhawk	F	juv	18	11	2019	human	veh	r	51.745327	-4.0654823	3.284235669
gower	NA	g1312	owl	Strigidae	Strix aluco	tawny owl	NA	juv	27	11	2019	human	veh	d	51.543767	-3.6150366	7.145700637
gower	NA	g1313	owl	Strigidae	Strix aluco	tawny owl	NA	juv	1	12	2019	human	veh	r	51.504286	-3.576945	68.3404445
gower	NA	g1314	owl	Strigidae	Strix aluco	tawny owl	NA	ad	26	12	2019	human	veh	d	53.201955	-3.845892	3.781847134
gower	NA	g132	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	4	1	2003	unknown	undet	d	51.995193	-3.7987455	24.40286624
gower	NA	g1320	raptor	Accipitridae	Buteo buteo	buzzard	M	ad	24	12	2019	human	veh	r	51.581957	-3.4446352	37.1616242
gower	NA	g133	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	6	1	2003	unknown	trauma	d	51.652707	-3.7316632	9.753184713
