centre_id	centre_id_2	centre_ref	group	family	species	common	sex	age	dd	mm	yy	type	cause	fate	lat	long	buff_rad	prop_urban
gower	NA	g373	raptor	Accipitridae	Buteo buteo	buzzard	m	ad	2	2	2006	unknown	undet	r	51.532091	-3.6780608	1000	55.99124204
gower	NA	g374	raptor	Accipitridae	Buteo buteo	buzzard	f	ad	4	2	2006	human	veh	r	51.506988	-3.6728151	1000	5.214968153
gower	NA	g375	raptor	Accipitridae	Accipiter nisus	sparrowhawk	m	ad	4	2	2006	human	veh	r	51.612058	-3.9713188	1000	54.87148834
gower	NA	g376	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	5	2	2006	unknown	trauma	d	51.994887	-4.9685068	1000	34.18604651
gower	NA	g378	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	ad	19	2	2006	unknown	undet	d	51.60672	-4.171832	1000	8.300159236
gower	NA	g379	owl	Tytonidae	Tyto alba	barn owl	m	ad	25	2	2006	human	veh	r	51.818436	-3.0154891	1000	55.85191083
gower	NA	g38	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	juv	13	8	2001	natural	metab	d	51.66939	-3.9304223	1000	74.74124204
gower	NA	g380	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	5	3	2006	unknown	undet	r	51.540895	-3.0828378	1000	16.79936306
gower	NA	g381	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	7	3	2006	unknown	undet	d	51.462303	-3.44949	1000	42.23726115
gower	NA	g383	owl	Strigidae	Strix aluco	tawny owl	NA	ad	1	4	2006	human	veh	d	51.616684	-4.0683015	1000	2.448248408
gower	NA	g384	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	11	5	2006	unknown	trauma	d	51.666311	-3.3056115	1000	43.47133758
gower	NA	g386	owl	Strigidae	Strix aluco	tawny owl	NA	juv	31	5	2006	natural	orph	c	51.754209	-4.2194738	1000	26.75159236
gower	NA	g388	owl	Strigidae	Athene noctua	little owl	NA	ad	9	6	2006	human	veh	d	51.453868	-3.6133004	1000	3.486954401
gower	NA	g389	raptor	Accipitridae	Milvus milvus	red kite	NA	juv	13	6	2006	unknown	undet	c	51.65037	-3.2834714	1000	36.86305732
gower	NA	g391	owl	Strigidae	Strix aluco	tawny owl	NA	ad	8	7	2006	human	pers	d	51.642099	-4.1055916	1000	23.64649682
gower	NA	g392	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	9	7	2006	human	pers	d	51.748197	-3.3789526	1000	84.7133758
gower	NA	g393	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	juv	15	7	2006	unknown	trauma	d	51.400735	-3.5524874	1000	2.210991788
gower	NA	g394	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	16	7	2006	unknown	undet	r	51.766569	-4.3693639	1000	12.87818471
gower	NA	g395	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	18	7	2006	unknown	undet	r	52.074582	-4.1579925	1000	19.20780255
gower	NA	g397	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	11	8	2006	human	veh	d	51.556484	-4.1651093	1000	7.390936044
gower	NA	g398	owl	Strigidae	Strix aluco	tawny owl	NA	ad	13	8	2006	human	fen	r	51.580995	-4.0522462	1000	37.28105096
gower	NA	g399	owl	Strigidae	Strix aluco	tawny owl	NA	juv	14	8	2006	human	veh	r	51.667631	-3.8725031	1000	54.39888535
gower	NA	g4	owl	Strigidae	Strix aluco	tawny owl	NA	ad	20	2	2001	human	veh	r	52.083189	-4.6605215	1000	43.55095541
gower	NA	g40	raptor	Falconidae	Falco tinnunculus	common kestrel	NA	juv	16	8	2001	natural	metab	r	51.556484	-4.1651093	1000	7.390936044
